Voltage (v),,Current (A * 10^-14),
-2,0.1,-26,1.3
-1.8,0.09,-26,1.3
-1.6,0.08,-26,1.3
-1.4,0.07,-26,1.3
-1.2,0.06,-26,1.3
-1,0.05,-26,1.3
-0.8,0.04,-26,1.3
-0.7,0.035,-22,1.1
-0.675,0.03375,-18,0.9
-0.65,0.0325,-12,0.6
-0.625,0.03125,-4,0.2
-0.6,0.03,6,0.3
-0.575,0.02875,19,0.95
-0.55,0.0275,36,1.8
-0.525,0.02625,56,2.8
-0.5,0.025,76,3.8
-0.475,0.02375,110,5.5
-0.45,0.0225,140,7
-0.425,0.02125,160,8
-0.4,0.02,200,10
-0.375,0.01875,220,11
-0.35,0.0175,250,12.5
-0.325,0.01625,290,14.5
0,0,1100,55
