Voltage (v),Voltage Uncertainty,Current (nA),Current Uncertainty (nA),Uncertainty: A/V,0.001,0.005
-0.350,0.00175,-1.238,0.001238,,,
-0.300,0.0015,-0.997,0.000997,,,
-0.250,0.00125,-0.777,0.000777,,,
-0.200,0.001,-0.575,0.000575,,,
-0.150,0.00075,-0.403,0.000403,,,
-0.100,0.0005,-0.261,0.000261,,,
-0.050,0.00025,-0.157,0.000157,,,
0.000,0,-0.085,0.000085,,,
0.050,0.00025,-0.040,0.00004,,,
0.100,0.0005,-0.015,0.000015,,,
0.150,0.00075,-0.001,0.000001,,,
0.165,0.000825,0,0,,,
0.200,0.001,0.003,0.000003,,,
0.250,0.00125,0.006,0.000006,,,
0.300,0.0015,0.008,0.000008,,,
0.350,0.00175,0.008,0.000008,,,
0.400,0.002,0.009,0.000009,,,
0.500,0.0025,0.009,0.000009,,,
0.600,0.003,0.009,0.000009,,,
0.700,0.0035,0.009,0.000009,,,
0.800,0.004,0.009,0.000009,,,
0.900,0.0045,0.009,0.000009,,,
1.000,0.005,0.010,0.00001,,,
